,Hospital,City,Address,Telephone_Number,Google_Map_Link
0,alamance regional medical center,Burlington,1240 HUFFMAN MILL RD,(336) 538-7000,https://maps.google.com/?cid=7676928198463240427
1,atrium health anson,Wadesboro,2301 US HIGHWAY 74 WEST,(704) 994-4500,https://maps.google.com/?cid=9960356586825648891
2,atrium health cabarrus,Concord,920 CHURCH ST N,(704) 403-3000,https://maps.google.com/?cid=1622612822891421659
3,atrium health cleveland,Shelby,201 E GROVER ST,(980) 487-3000,https://maps.google.com/?cid=2300579533387251133
4,atrium health lincoln,Lincolnton,433 MCALISTER RD,(980) 212-2000,https://maps.google.com/?cid=13481314033431913694
5,atrium health pineville,Charlotte,10628 PARK RD,(704) 667-1000,https://maps.google.com/?cid=8957466942529219623
6,atrium health stanly,Albemarle,Atrium Health Stanly,,https://maps.google.com/?cid=7259250641974884636
7,atrium health union,Monroe,600 HOSPITAL DR,(980) 993-3100,https://maps.google.com/?cid=14699194454889092193
8,atrium health university city,Charlotte,8800 NORTH TYRON STREET,(704) 863-6000,https://maps.google.com/?cid=7076796399763319050
9,blue ridge regional hospital,Spruce Pine,125 HOSPITAL DR,(828) 765-4201,https://maps.google.com/?cid=13720620789785762741
10,brynn marr hospital,Jacksonville,192 VILLAGE DRIVE,(910) 577-1400,https://maps.google.com/?cid=4140152993342734939
11,carolinaeast medical center,New Bern,"CarolinaEast Medical Center2000 Neuse BoulevardNew Bern, NC  28561",(252) 633-8111,https://maps.google.com/?cid=13651562147515889465
12,carolinas medical center,Charlotte,1000 BLYTHE BLVD,(704) 355-2000,https://maps.google.com/?cid=15333130286636265397
13,catawba valley medical center,Hickory,810 FAIRGROVE CHURCH RD,(828) 326-3000,https://maps.google.com/?cid=7312102869104690527
14,central carolina hospital,Sanford,1135 CARTHAGE ST,(919) 774-2100,https://maps.google.com/?cid=7278958158451459858
15,columbus regional healthcare system,Whiteville,500 JEFFERSON ST,(910) 642-8011,https://maps.google.com/?cid=12173120477667087535
16,davie medical center,Mocksville,223 HOSPITAL STREET,(336) 751-8000,https://maps.google.com/?cid=7140815968552645834
17,duke regional hospital,Durham,3643 N ROXBORO STREET,(919) 470-4000,https://maps.google.com/?cid=17857831323662447177
18,duke university hospital,Durham,PO BOX 3814 DUMC  ERWIN RD,(919) 684-8111,https://maps.google.com/?cid=546488320052644787
19,frye regional medical center,Hickory,420 N CENTER ST,(828) 315-5000,https://maps.google.com/?cid=4815632900712355445
20,harris regional hospital,Sylva,68 HOSPITAL RD,(828) 586-7000,https://maps.google.com/?cid=8684652092483116571
21,maria parham medical center,Henderson,PO BOX 59,(252) 438-4143,https://maps.google.com/?cid=1900817751474261203
22,martin general hospital,Williamston,310 S MCCASKEY RD P O BOX 1128,(252) 809-6300,https://maps.google.com/?cid=12593683946715352299
23,pender memorial hospital,Burgaw,507 E FREMONT ST,(910) 300-4000,https://maps.google.com/?cid=7534199174545441907
24,randolph hospital,Asheboro,364 WHITE OAK STREET,(336) 625-5151,https://maps.google.com/?cid=11941521844898092932
25,sampson regional medical center,Clinton,607 BEAMAN ST,(910) 592-8511,https://maps.google.com/?cid=1564645847678868527
26,wakemed cary hospital,Cary,1900 KILDARE FARM ROAD,(919) 350-8000,https://maps.google.com/?cid=9194000849111417548
27,watauga medical center,Boone,336 DEERFIELD ROAD,(828) 262-4100,https://maps.google.com/?cid=8104433230457124158
28,wilson medical center,Wilson,1705 S TARBORO ST,(252) 399-8040,https://maps.google.com/?cid=13434300306904379106
