Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,ITEM_SERVICE_PACKAGE,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Diem Level 1,118; 120; 128; 138; 148; 158,,,$747.00,$1376.46,$813.70,NA,$1120.00,$820.00,$820.00,NA,$970.00,NA,NA,NA,NA,NA,NA,NA,$871.00,$907.00,$907.00,NA,$1019.60,$1376.46,$1150.00,$1150.00,$1120.00,$1120.00,$1120.00,$1120.00,NA,$871.00,NA,NA,NA,NA,$1200.00,NA,NA,$1100.00,$1100.00,NA,$1022.00,NA,$1026.00,$747.00,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Diem Level 2,118; 120; 128; 138; 148; 158,,,$876.53,$1420.00,$876.53,NA,$1420.00,$1055.00,$1055.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1420.00,$1420.00,$1420.00,$1420.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1320.00,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Diem Level 3,118; 120; 128; 138; 148; 158,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Diem Level 4,118; 120; 128; 138; 148; 158,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Diem Level 5,118; 120; 128; 138; 148; 158,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab FLAT RATE,118; 120; 128; 138; 148; 158,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-A,,,$13466.44,$16462.71,NA,$28490.60,NA,NA,NA,$28490.60,NA,$27066.07,$27066.07,$27350.99,NA,NA,$28490.60,$28490.60,NA,NA,NA,$28490.60,NA,NA,NA,NA,NA,NA,NA,NA,$28490.60,NA,$28490.60,$28490.60,NA,$28490.60,NA,NA,$32764.20,NA,NA,$28490.60,NA,$28490.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-B,,,$17738.56,$21685.36,NA,$37529.01,NA,NA,NA,$37529.01,NA,$35652.56,$35652.56,$36027.85,NA,NA,$37529.01,$37529.01,NA,NA,NA,$37529.01,NA,NA,NA,NA,NA,NA,NA,NA,$37529.01,NA,$37529.01,$37529.01,NA,$37529.01,NA,NA,$43158.35,NA,NA,$37529.01,NA,$37529.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-C,,,$15165.66,$18540.00,NA,$32085.59,NA,NA,NA,$32085.59,NA,$30481.31,$30481.31,$30802.17,NA,NA,$32085.59,$32085.59,NA,NA,NA,$32085.59,NA,NA,NA,NA,NA,NA,NA,NA,$32085.59,NA,$32085.59,$32085.59,NA,$32085.59,NA,NA,$36898.43,NA,NA,$32085.59,NA,$32085.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Stroke,CMG 0101-D,,,$14071.83,$17202.80,NA,$29771.41,NA,NA,NA,$29771.41,NA,$28282.84,$28282.84,$28580.56,NA,NA,$29771.41,$29771.41,NA,NA,NA,$29771.41,NA,NA,NA,NA,NA,NA,NA,NA,$29771.41,NA,$29771.41,$29771.41,NA,$29771.41,NA,NA,$34237.12,NA,NA,$29771.41,NA,$29771.41,NA,NA,NA,NA
