Encompass Health Deaconess Rehabilitation Hospita,,"4100 Covert Avenue
Evansville, IN, 47714",
Hospital Name,Code,Description, Gross Charge 
Encompass Health Deaconess Rehabilitation Hospita,118; 120; 128; 138; 148; 158,Inpatient Rehab Per Diem Level 1,
,118; 120; 128; 138; 148; 158,Inpatient Rehab Per Diem Level 2,
,118; 120; 128; 138; 148; 158,Inpatient Rehab Per Diem Level 3,
,118; 120; 128; 138; 148; 158,Inpatient Rehab Per Diem Level 4,
,118; 120; 128; 138; 148; 158,Inpatient Rehab Per Diem Level 5,
,118; 120; 128; 138; 148; 158,Inpatient Rehab FLAT RATE,
,CMG 0101-A,Inpatient Rehab Per Discharge: Stroke,
,CMG 0101-B,Inpatient Rehab Per Discharge: Stroke,
,CMG 0101-C,Inpatient Rehab Per Discharge: Stroke,
,CMG 0101-D,Inpatient Rehab Per Discharge: Stroke,
,CMG 0102-A,Inpatient Rehab Per Discharge: Stroke,
,CMG 0102-B,Inpatient Rehab Per Discharge: Stroke,
,CMG 0102-C,Inpatient Rehab Per Discharge: Stroke,
,CMG 0102-D,Inpatient Rehab Per Discharge: Stroke,
,CMG 0103-A,Inpatient Rehab Per Discharge: Stroke,
,CMG 0103-B,Inpatient Rehab Per Discharge: Stroke,
,CMG 0103-C,Inpatient Rehab Per Discharge: Stroke,
,CMG 0103-D,Inpatient Rehab Per Discharge: Stroke,
,CMG 0104-A,Inpatient Rehab Per Discharge: Stroke,
,CMG 0104-B,Inpatient Rehab Per Discharge: Stroke,
,CMG 0104-C,Inpatient Rehab Per Discharge: Stroke,
,CMG 0104-D,Inpatient Rehab Per Discharge: Stroke,
,CMG 0105-A,Inpatient Rehab Per Discharge: Stroke,
,CMG 0105-B,Inpatient Rehab Per Discharge: Stroke,
,CMG 0105-C,Inpatient Rehab Per Discharge: Stroke,
,CMG 0105-D,Inpatient Rehab Per Discharge: Stroke,
,CMG 0106-A,Inpatient Rehab Per Discharge: Stroke,
,CMG 0106-B,Inpatient Rehab Per Discharge: Stroke,
,CMG 0106-C,Inpatient Rehab Per Discharge: Stroke,
,CMG 0106-D,Inpatient Rehab Per Discharge: Stroke,
,CMG 0201-A,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0201-B,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0201-C,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0201-D,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0202-A,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0202-B,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0202-C,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0202-D,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0203-A,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0203-B,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0203-C,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0203-D,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0204-A,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0204-B,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0204-C,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0204-D,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0205-A,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0205-B,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0205-C,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0205-D,"Inpatient Rehab Per Discharge: Brain dysfunction, traumatic",
,CMG 0301-A,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0301-B,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0301-C,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0301-D,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0302-A,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0302-B,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0302-C,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0302-D,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0303-A,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0303-B,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0303-C,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
,CMG 0303-D,"Inpatient Rehab Per Discharge: Brain dysfunction, non-traumatic",
