CPT/HCPCS,DESCRIPTION,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
74022,ABDOMEN ERECT & FLAT,234,117,86.58,117,86.58,109.98,93.6,93.6,109.98,109.98,93.6,
74021,ABDOMEN ERECT OR/AND DECUBITUS,208,104,76.96,104,76.96,97.76,83.2,83.2,97.76,97.76,83.2,
74018,ABDOMEN SINGLE VIEW,126,63,46.62,63,46.62,59.22,50.4,50.4,59.22,59.22,50.4,
73050,ACROMIOCLAVICULAR,98,49,36.26,49,36.26,46.06,39.2,39.2,46.06,46.06,39.2,
73050LT,ACROMIOCLAVICULAR LT,162,81,59.94,81,59.94,76.14,64.8,64.8,76.14,76.14,64.8,
73050RT,ACROMIOCLAVICULAR RT,162,81,59.94,81,59.94,76.14,64.8,64.8,76.14,76.14,64.8,
74246,AIR CONTRAST UPPER GI,268,134,99.16,134,99.16,125.96,107.2,107.2,125.96,125.96,107.2,
82040,ALBUMIN SERUM,31,15.5,11.47,15.5,11.47,14.57,12.4,12.4,14.57,14.57,12.4,
82042,"ALBUMIN, 24 HR URINE",16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
80320,ALCOHOL (ETOH) BLOOD,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
82085,ALDOLASE 227,59,29.5,21.83,29.5,21.83,27.73,23.6,23.6,27.73,27.73,23.6,
82088,ALDOSTER S 17181,240,120,88.8,120,88.8,112.8,96,96,112.8,112.8,96,
84080,ALK PHOS ISO 231,87,43.5,32.19,43.5,32.19,40.89,34.8,34.8,40.89,40.89,34.8,
84075,ALK PHOSPHATASE,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
82105,ALPHA FETO PROT 237,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
82103,ALPHA-1 ANTITRY 235,81,40.5,29.97,40.5,29.97,38.07,32.4,32.4,38.07,38.07,32.4,
84460,ALT/SGPT,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
82140,AMMONIA BLOOD,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
82150,AMYLASE,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
82157,ANDROSTENEDIONE,173,86.5,64.01,86.5,64.01,81.31,69.2,69.2,81.31,81.31,69.2,
82164,ANGIOTENSIN CON E 683,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
73610,ANKLE 4 VIEWS,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
73610LT,ANKLE LT 4 VIEWS,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
73600LT,ANKLE LT AP & LAT,134,67,49.58,67,49.58,62.98,53.6,53.6,62.98,62.98,53.6,
73610RT,ANKLE RT 4 VIEWS,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
73600RT,ANKLE RT AP & LAT,134,67,49.58,67,49.58,62.98,53.6,53.6,62.98,62.98,53.6,
73600,ANKLE-AP & LAT,85,42.5,31.45,42.5,31.45,39.95,34,34,39.95,39.95,34,
84311,ARLSULFATASE,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
23350,ARTHROGRAM,126,63,46.62,63,46.62,59.22,50.4,50.4,59.22,59.22,50.4,
84450,AST,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
86615,B.PERTUSSIS 11365 PCR,97,48.5,35.89,48.5,35.89,45.59,38.8,38.8,45.59,45.59,38.8,
82607,B12,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
80345,BARBITURATES QUANTITATIVE,69,34.5,25.53,34.5,25.53,32.43,27.6,27.6,32.43,32.43,27.6,
74280,BARIUM EMEMA AIR,340,170,125.8,170,125.8,159.8,136,136,159.8,159.8,136,
74270,BARIUM ENEMA,270,135,99.9,135,99.9,126.9,108,108,126.9,126.9,108,
74220,BARIUM SWALLOW,262,131,96.94,131,96.94,123.14,104.8,104.8,123.14,123.14,104.8,
80048,BASIC METABOLIC PANEL,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
82248,BILI DIRECT,31,15.5,11.47,15.5,11.47,14.57,12.4,12.4,14.57,14.57,12.4,
82247,BILIRUBIN TOTAL,31,15.5,11.47,15.5,11.47,14.57,12.4,12.4,14.57,14.57,12.4,
43239,"BIOPSY  OF ESOPHAGUS,  STOMACH, AND/OR UPPER SMALL BOWEL BY ENDOSCOPE",2600,1300,962,1300,962,1300,1040,1040,1300,1300,962,
45380,BIOPSY  OF LARGE BOWEL BY ENDOSCOPE,2900,1450,1073,1450,1073,1450,1160,1160,1450,1450,1073,
55700,Biopsy of prostate gland ,SERVICE NOT PROVIDED,,,,,,,,,,,
38500,BIOPSY OR EXCISION OF LYMPH NODE,7722,3861,2857.14,3861,2857.14,3629.34,3088.8,3088.8,3629.34,3629.34,3088.8,
82803,BLOOD GAS ANALYSIS,108,54,39.96,54,39.96,50.76,43.2,43.2,50.76,50.76,43.2,
84520,BLOOD UREA NITROGEN,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
77072,BONE AGE STUDIES,176,88,65.12,88,65.12,82.72,70.4,70.4,82.72,82.72,70.4,
77074,BONE SURVEY,272,136,100.64,136,100.64,127.84,108.8,108.8,127.84,127.84,108.8,
19083,BREAST BIOPSY NEEDLE GUIDED WITH US,4000,2000,1480,2000,1480,1880,1600,1600,1880,1880,1600,
19081,BREAST NEEDLE LOCALIZATION,167,83.5,61.79,83.5,61.79,78.49,66.8,66.8,78.49,78.49,66.8,
76098,BREAST SPECIMEN EXAM,489,244.5,180.93,244.5,180.93,229.83,195.6,195.6,229.83,229.83,195.6,
83013,BREATH ANALYSIS - H-PYLORI,193,96.5,71.41,96.5,71.41,90.71,77.2,77.2,90.71,90.71,77.2,
71060,BRONCHOGRAPHY BILAT,273,136.5,101.01,136.5,101.01,128.31,109.2,109.2,128.31,128.31,109.2,
71040,BRONCHOGRAPHY UNILAT,290,145,107.3,145,107.3,136.3,116,116,136.3,136.3,116,
83036,BU HGB A1C (HEMOGLOBIN A1C),59,29.5,21.83,29.5,21.83,27.73,23.6,23.6,27.73,27.73,23.6,
84681,C PEPTIDE 372,60,30,22.2,30,22.2,28.2,24,24,28.2,28.2,24,
83520,C1 ESTERASE TOTAL,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
83050,CA 27.29 29493,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
82300,CADMIUM URINE       ARL,137,68.5,50.69,68.5,50.69,64.39,54.8,54.8,64.39,64.39,54.8,
82491,CAFFEINE          ARL,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
82340,CALCIUM  URINE RANDOM,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
82310,CALCIUM TOTAL,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
82375,CARBON DIOXIDE (310),74,37,27.38,37,27.38,34.78,29.6,29.6,34.78,34.78,29.6,
216,Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with major complications or comorbidities ,SERVICE NOT PROVIDED,,,,,,,,,,,
82380,CAROTENE,57,28.5,21.09,28.5,21.09,26.79,22.8,22.8,26.79,26.79,22.8,
82384,CATECHO 24 39627,102,51,37.74,51,37.74,47.94,40.8,40.8,47.94,47.94,40.8,
85027,CBC,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
85025,CBC + DIFF,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
86200,CCP  iGG (11173),152,76,56.24,76,56.24,71.44,60.8,60.8,71.44,71.44,60.8,
82378,CEA 978,112,56,41.44,56,41.44,52.64,44.8,44.8,52.64,52.64,44.8,
86038,CENTROMERE B 16088,61,30.5,22.57,30.5,22.57,28.67,24.4,24.4,28.67,28.67,24.4,
82390,CERULOPLASMIN   326,63,31.5,23.31,31.5,23.31,29.61,25.2,25.2,29.61,29.61,25.2,
72052,CERVICAL SP FLEXION,262,131,96.94,131,96.94,123.14,104.8,104.8,123.14,123.14,104.8,
473,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications ,SERVICE NOT PROVIDED,,,,,,,,,,,
72050,CERVICAL SPINE,229,114.5,84.73,114.5,84.73,107.63,91.6,91.6,107.63,107.63,91.6,
81001,CHARGE MICRO UA,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
